,source,target
3500,384,1
3499,384,0
3504,384,175
3502,384,30
3501,384,3
3565,385,351
3635,386,108
79,387,290
184,388,276
183,388,13
966,389,373
1214,390,150
1347,391,233
1450,392,77
1461,393,158
2615,394,0
2616,394,1
3042,395,276
3041,395,13
3360,396,0
3361,396,1
3362,396,3
3363,396,30
3365,396,175
3366,396,194
3367,396,384
3364,396,41
3582,397,253
3580,397,90
3579,397,81
3581,397,248
3695,398,101
3821,399,0
3822,399,1
3825,399,28
3827,399,37
3826,399,33
3831,399,263
3829,399,178
3823,399,7
3830,399,188
3828,399,105
3824,399,8
3832,399,304
14,400,19
18,400,124
19,400,156
20,400,200
15,400,29
16,400,55
17,400,113
190,401,373
524,402,158
523,402,13
525,402,276
1369,403,210
1368,403,150
1453,404,370
1717,405,77
2263,406,195
2289,407,265
2287,407,77
2290,407,405
2288,407,89
2648,408,61
2972,409,151
2971,409,109
2973,409,215
2974,409,232
2970,409,77
3456,410,219
3457,410,238
3458,410,376
9,411,370
8,411,77
121,412,261
118,412,36
120,412,133
119,412,108
361,413,337
418,414,108
706,415,235
705,415,188
704,415,49
703,415,1
702,415,0
707,415,286
708,415,363
1246,416,77
1495,417,108
1633,418,383
1632,418,370
1631,418,181
1661,419,373
2100,420,270
2357,421,276
2356,421,13
2526,422,229
2525,422,193
2524,422,148
2527,422,370
2868,423,415
2867,423,0
3236,424,1
3237,424,7
3235,424,0
3272,425,150
3273,425,219
3683,426,77
3684,426,270
3731,427,373
3749,428,0
3750,428,1
27,429,22
28,429,63
26,429,7
24,429,0
25,429,1
194,430,165
193,430,135
192,430,84
191,430,42
416,431,404
428,432,176
733,433,405
732,433,77
889,434,357
941,435,276
940,435,13
1300,436,391
1299,436,233
1636,437,266
1910,438,1
1909,438,0
1911,438,149
3033,439,261
3173,440,0
3174,440,1
3175,440,140
3690,441,124
3689,441,113
3688,441,55
3687,441,29
3686,441,19
3692,441,200
3691,441,156
3799,442,63
3798,442,22
3800,442,64
3793,442,1
3792,442,0
3794,442,6
3801,442,340
3795,442,7
3797,442,15
3796,442,13
3802,442,350
3803,442,429
136,443,11
135,443,1
137,443,76
134,443,0
139,443,256
138,443,138
620,444,370
690,445,373
773,446,113
774,446,124
772,446,55
775,446,156
776,446,200
771,446,29
770,446,19
932,447,36
933,447,327
939,448,200
935,448,29
936,448,113
937,448,124
938,448,156
934,448,19
1012,449,51
1015,449,326
1014,449,282
1013,449,206
1011,449,7
1498,450,13
1499,450,276
1846,451,7
2099,452,437
2211,453,0
2215,453,373
2212,453,25
2213,453,180
2214,453,236
2268,454,195
2269,454,406
2572,455,262
2604,456,367
2603,456,349
2601,456,122
2602,456,184
2731,457,37
2730,457,1
2729,457,0
2767,458,448
3233,459,150
3234,459,403
3389,460,13
3390,460,276
3626,461,1
3625,461,0
3627,461,443
55,462,108
56,462,386
73,463,61
74,463,77
97,464,370
169,465,203
168,465,131
167,465,61
334,466,370
333,466,77
1810,467,439
2019,468,308
2032,469,156
2030,469,113
2029,469,55
2028,469,29
2031,469,124
2027,469,19
2033,469,200
2034,469,448
2206,470,77
2207,470,405
2272,471,42
2273,471,84
2274,471,135
2275,471,165
2276,471,430
2467,472,393
2656,473,448
2655,473,425
3082,474,276
3081,474,13
3083,474,395
3253,475,326
3254,475,449
3250,475,51
3251,475,206
3252,475,282
3249,475,7
3648,476,261
3813,477,238
3812,477,219
430,478,409
1016,479,261
1017,479,476
1143,480,264
1328,481,61
1409,482,13
1410,482,276
1411,482,395
1436,483,210
1437,483,267
1438,483,362
1435,483,150
1439,483,403
1458,484,143
1459,484,415
1460,484,447
1642,485,0
1643,485,1
1838,486,448
2162,487,276
2161,487,13
2387,488,92
2388,488,475
2593,489,426
2592,489,270
2887,490,13
2888,490,276
2889,490,339
3144,491,393
3145,491,472
154,492,184
251,493,448
250,493,200
249,493,156
248,493,124
247,493,113
245,493,29
244,493,19
252,493,469
246,493,55
279,494,391
278,494,233
280,494,436
362,495,176
365,495,287
364,495,225
367,495,335
366,495,306
363,495,212
400,496,85
482,497,351
481,497,261
480,497,153
479,497,133
478,497,108
629,498,153
630,498,266
1098,499,90
1097,499,81
1108,500,403
1227,501,61
1286,502,123
1648,503,484
2139,504,261
2218,505,415
2217,505,219
2575,506,276
2574,506,13
2657,507,337
2678,508,363
2677,508,1
2676,508,0
2721,509,202
2720,509,195
2722,509,255
3574,510,89
3572,510,7
3573,510,77
3575,510,265
3576,510,405
792,511,217
788,511,13
790,511,150
789,511,34
793,511,276
791,511,177
845,512,122
1277,513,262
1278,513,496
1497,514,448
1602,515,308
1819,516,265
1820,516,344
1821,516,405
1818,516,89
1817,516,77
1822,516,510
2063,517,29
2064,517,55
2065,517,113
2066,517,124
2071,517,469
2070,517,448
2069,517,358
2062,517,19
2067,517,156
2068,517,200
2135,518,236
2131,518,0
2132,518,25
2133,518,180
2134,518,217
2136,518,373
2244,519,415
2243,519,0
2358,520,77
2999,521,405
3000,521,510
2996,521,77
2998,521,265
3001,521,516
2997,521,89
3518,522,108
3517,522,36
3521,522,412
3520,522,261
3522,522,456
3523,522,497
3519,522,133
3644,523,61
3657,524,270
3658,524,426
3717,525,77
329,526,370
328,526,86
604,527,496
659,528,403
660,528,519
872,529,414
1198,530,337
1283,531,373
1491,532,529
1490,532,334
1697,533,240
1698,533,278
1699,533,368
1700,533,370
1715,534,370
1742,535,1
1741,535,0
2121,536,431
2183,537,295
2184,537,365
2528,538,77
2529,538,370
2594,539,150
2770,540,443
2769,540,1
2768,540,0
2771,541,342
3136,542,448
3152,543,61
3176,544,270
3248,545,483
109,546,466
141,547,77
140,547,61
723,548,229
721,548,148
722,548,193
743,549,426
742,549,420
741,549,270
750,550,78
751,550,373
749,550,54
1179,551,522
1178,551,108
1959,552,389
1960,552,445
2170,553,276
2169,553,13
3074,554,77
258,555,150
303,556,128
304,556,167
305,556,331
302,556,118
301,556,77
323,557,262
324,557,496
373,558,368
371,558,240
375,558,533
374,558,370
372,558,278
880,559,410
879,559,219
1291,560,7
1292,560,22
1290,560,1
1293,560,63
1294,560,429
1295,560,442
1289,560,0
1514,561,77
1513,561,61
1664,562,187
1663,562,170
1917,563,532
1916,563,529
1989,564,31
2363,565,496
2362,565,262
2803,566,496
3039,567,496
3307,568,560
3420,569,83
3419,569,61
3421,569,97
3422,569,315
3663,570,276
3662,570,13
3855,571,140
3854,571,1
3853,571,0
64,572,429
62,572,1
63,572,7
61,572,0
307,573,276
306,573,13
395,574,195
396,574,406
397,574,454
398,574,559
457,575,370
461,576,331
460,576,167
459,576,128
458,576,77
548,577,497
574,578,0
575,578,1
576,578,140
783,579,216
782,579,149
784,579,251
785,579,438
786,579,535
787,579,564
781,579,1
780,579,0
801,580,473
799,580,430
795,580,42
796,580,84
800,580,471
798,580,165
797,580,135
988,581,276
987,581,13
1331,582,1
1330,582,0
1701,583,13
1702,583,276
1862,584,534
1958,585,7
2262,586,337
2725,587,36
2727,587,448
2728,587,471
2726,587,425
2892,588,77
3153,589,77
3214,590,528
3213,590,519
3212,590,403
3274,591,61
3349,592,13
3353,592,379
3352,592,276
3351,592,231
3350,592,169
3369,593,590
3368,593,199
3672,594,590
3702,595,0
3706,595,236
3704,595,26
3703,595,25
3707,595,373
3705,595,180
3708,595,415
3763,596,1
3764,596,158
3767,596,448
3765,596,163
3762,596,0
3766,596,320
376,597,150
636,598,276
635,598,13
846,599,77
1102,600,373
1103,600,550
1138,601,0
1139,601,415
1296,602,61
1573,603,572
1679,604,250
1680,604,278
1682,604,370
1681,604,368
1684,604,558
1678,604,240
1683,604,533
1735,605,278
1734,605,240
1739,605,558
1740,605,604
1737,605,370
1738,605,533
1736,605,368
1832,606,61
2120,607,522
2221,608,603
2258,609,81
2260,609,317
2259,609,93
2257,609,77
2407,610,590
2764,611,101
2827,612,229
2826,612,193
2825,612,148
2828,612,548
2991,613,426
2992,613,549
2990,613,270
3543,614,568
3542,614,496
3540,614,448
3538,614,7
3541,614,488
3539,614,61
3628,615,603
3754,616,324
3751,616,0
3753,616,7
3752,616,1
101,617,269
102,617,319
519,618,397
518,618,253
516,618,90
515,618,81
520,618,499
517,618,248
583,619,590
712,620,597
840,621,219
965,622,77
1134,623,614
1132,623,496
1133,623,527
1210,624,590
1209,624,539
1248,625,193
1249,625,229
1250,625,548
1251,625,612
1247,625,148
1660,626,448
1733,627,469
1724,627,19
1726,627,55
1728,627,124
1729,627,156
1732,627,448
1730,627,158
1731,627,200
1727,627,113
1725,627,29
1766,628,108
1770,628,261
1767,628,129
1771,628,272
1772,628,522
1768,628,133
1769,628,153
1845,629,134
1868,630,579
1867,630,1
1866,630,0
2102,631,603
2171,632,101
2232,633,337
2590,634,496
2591,634,614
2869,635,0
2870,635,1
2871,635,579
3058,636,1
3057,636,0
3118,637,467
3117,637,439
3279,638,554
3282,639,466
3283,639,628
3395,640,281
3680,641,426
3678,641,270
3681,641,549
3679,641,370
327,642,550
326,642,373
356,643,81
359,643,167
360,643,331
355,643,77
358,643,128
357,643,118
666,644,145
668,644,628
667,644,459
890,645,13
891,645,276
1024,646,108
1026,646,628
1025,646,522
1057,647,0
1059,647,7
1060,647,36
1061,647,373
1062,647,415
1063,647,448
1064,647,633
1058,647,1
1121,648,150
1122,648,555
1263,649,522
1570,650,448
1571,650,587
1569,650,425
1568,650,363
1567,650,219
1879,651,83
1880,651,110
1881,651,602
1878,651,61
2001,652,476
2002,652,628
2023,653,628
2255,654,431
2256,654,536
2340,655,18
2398,656,55
2399,656,113
2396,656,19
2405,656,469
2406,656,627
2401,656,152
2403,656,200
2397,656,29
2404,656,448
2402,656,156
2400,656,124
2538,657,415
2534,657,263
2533,657,44
2539,657,443
2532,657,40
2531,657,1
2536,657,304
2537,657,324
2530,657,0
2535,657,294
2875,658,295
2876,658,365
2877,658,537
3202,659,480
3203,659,628
3201,659,264
3303,660,590
3304,661,13
3305,661,276
3306,661,460
3610,662,108
3613,662,628
3612,662,551
3611,662,522
3814,663,403
195,664,663
214,665,615
287,666,536
335,667,0
336,667,1
414,668,442
497,669,590
496,669,539
498,669,624
513,670,0
514,670,1
584,671,663
655,672,161
654,672,81
653,672,77
759,673,590
764,674,1
765,674,443
763,674,0
922,675,519
921,675,337
1136,676,467
1135,676,439
1137,676,637
1341,677,577
1340,677,497
1385,678,81
1384,678,77
1386,678,227
1520,679,499
1518,679,81
1519,679,90
1543,680,42
1544,680,84
1545,680,135
1546,680,165
1547,680,261
1548,680,329
1549,680,471
1550,680,473
1576,681,664
1690,682,42
1691,682,84
1692,682,135
1693,682,165
1694,682,471
1696,682,680
1695,682,473
2185,683,603
2186,683,631
2208,684,308
2277,685,513
2625,686,603
2626,686,631
2760,687,338
3064,688,499
3063,688,147
3062,688,90
3061,688,81
3241,689,55
3247,689,627
3245,689,200
3244,689,156
3242,689,113
3246,689,448
3240,689,29
3239,689,19
3243,689,124
3299,690,497
3300,690,522
3311,691,259
3310,691,237
3336,692,324
3334,692,0
3335,692,1
3340,693,158
3339,693,7
3370,694,484
3654,695,205
58,696,1
60,696,429
59,696,7
57,696,0
174,697,662
170,697,108
172,697,551
171,697,522
173,697,628
266,698,466
379,699,676
378,699,595
754,700,142
755,700,234
753,700,1
752,700,0
756,700,264
827,701,389
828,701,550
826,701,373
825,701,7
982,702,217
1287,703,628
1408,704,687
1667,705,123
2072,706,448
2077,707,515
2076,707,308
2454,708,140
2464,709,0
2465,709,1
2466,709,579
2583,710,641
2579,710,426
2581,710,524
2580,710,489
2578,710,353
2582,710,549
2577,710,270
2584,711,559
2842,712,158
2968,713,664
2969,714,664
3060,715,628
3059,715,466
3208,716,687
3465,717,590
3466,717,610
3560,718,687
3639,719,652
3638,719,628
3636,719,142
3640,719,653
3637,719,351
3740,720,373
3739,720,320
3736,720,158
3742,720,448
3738,720,236
3741,720,399
3732,720,0
3733,720,7
3737,720,180
3734,720,25
3735,720,42
196,721,597
286,722,661
285,722,460
284,722,276
283,722,13
370,723,662
709,724,687
885,725,77
943,726,337
961,727,522
963,727,628
962,727,551
960,727,108
986,728,722
985,728,661
984,728,276
983,728,13
1068,729,276
1067,729,13
1302,730,714
1301,730,664
1479,731,0
1480,731,1
1942,732,0
1943,732,1
1944,732,10
1945,732,277
1946,732,363
1947,732,508
2015,733,552
2017,734,638
2016,734,554
2080,735,140
2078,735,0
2079,735,1
2163,736,290
2624,737,276
2623,737,13
2716,738,643
2715,738,576
2714,738,331
2713,738,167
2712,738,128
2711,738,77
2845,739,308
2903,740,279
3003,741,468
3084,742,77
3086,742,161
3085,742,81
3337,743,370
3338,743,464
3354,744,145
3355,744,187
3356,744,292
3357,744,459
3358,744,703
3467,745,733
3534,746,370
3533,746,319
3532,746,269
3531,746,219
3670,747,661
3671,747,722
3668,747,13
3669,747,276
3772,748,628
3770,748,264
3771,748,480
111,749,497
112,749,577
113,749,677
162,750,77
618,751,690
619,752,639
731,753,77
1288,754,687
1329,755,690
1364,756,77
2140,757,218
2141,757,307
2270,758,442
2317,759,664
2459,760,430
2460,760,471
2461,760,473
2463,760,680
2457,760,135
2456,760,84
2455,760,42
2458,760,165
2462,760,580
2801,761,734
2799,761,554
2800,761,638
2873,762,752
2872,762,639
3015,763,687
3014,763,593
3038,764,609
3037,764,317
3034,764,77
3035,764,81
3036,764,93
3193,765,61
3289,766,1
3288,766,0
3477,767,13
3478,767,276
3709,768,13
3710,768,276
3804,769,195
3805,769,559
3840,770,676
3841,770,699
3842,770,762
38,771,484
161,772,723
240,773,746
239,773,319
238,773,269
237,773,219
617,774,290
838,775,367
839,776,687
947,777,108
950,777,628
949,777,522
948,777,456
964,778,597
976,779,651
975,779,83
974,779,61
1474,780,651
1473,780,591
1475,780,779
1470,780,315
1469,780,97
1468,780,83
1467,780,61
1471,780,316
1472,780,569
1492,781,456
1654,782,449
1653,782,326
1652,782,282
1651,782,206
1649,782,7
1655,782,488
1650,782,51
1676,783,143
1677,783,755
1718,784,387
1924,785,0
1925,785,1
1926,785,579
2026,786,671
2373,787,278
2379,787,605
2378,787,604
2377,787,558
2376,787,533
2375,787,370
2374,787,368
2372,787,240
2723,788,373
2724,788,550
2835,789,628
2932,790,687
3087,791,417
3088,791,690
3238,792,687
3348,793,366
3346,793,61
3347,793,77
3444,794,548
3442,794,193
3441,794,148
3445,794,612
3443,794,229
3446,794,625
3590,795,7
3589,795,1
3591,795,22
3588,795,0
3592,795,63
3593,795,429
3594,795,442
3595,795,560
3745,796,698
165,797,687
401,798,77
403,798,128
404,798,167
405,798,331
406,798,392
402,798,81
407,798,643
408,798,738
463,799,90
462,799,81
464,799,499
673,800,0
675,800,579
674,800,1
761,801,77
762,801,405
831,802,77
832,802,392
928,803,0
929,803,1
1018,804,295
1020,804,537
1021,804,658
1019,804,365
1112,805,640
1336,806,687
1337,806,797
1363,807,687
1445,808,797
1444,808,687
1669,809,448
1716,810,337
2035,811,675
2198,812,614
2197,812,496
2196,812,262
2233,813,448
2299,814,0
2300,814,1
2301,814,7
2302,814,429
2303,814,657
2370,815,797
2369,815,687
2371,815,808
2395,816,308
2829,817,61
2830,817,86
2950,818,0
2951,818,1
3133,819,628
3309,820,714
3308,820,664
3471,821,77
3474,822,603
3476,822,686
3475,822,631
3759,823,687
3761,823,808
3760,823,797
282,824,77
687,825,751
766,826,628
991,827,276
989,827,13
990,827,158
1104,828,676
1107,828,770
1105,828,699
1106,828,762
1176,829,414
1177,829,755
1224,830,461
1222,830,40
1225,830,540
1226,830,674
1221,830,1
1223,830,76
1220,830,0
1387,831,522
1536,832,762
1721,833,528
1722,833,590
1720,833,519
1723,833,594
1719,833,403
1760,834,460
1759,834,276
1758,834,13
1761,834,661
1762,834,722
1833,835,603
1834,835,631
1835,835,686
1992,836,337
2393,837,664
2394,837,714
2412,838,307
2411,838,218
2519,839,784
2518,839,387
2517,839,290
2776,840,182
2777,840,273
2778,840,314
2779,840,520
2780,840,588
3232,841,666
3231,841,654
3230,841,639
3229,841,536
3227,841,431
3228,841,522
3263,842,664
3439,843,797
3440,843,808
3438,843,687
3450,844,317
3447,844,77
3452,844,764
3448,844,81
3451,844,609
3449,844,93
3526,845,621
3634,846,77
3723,847,193
3724,847,229
3725,847,548
3726,847,612
3727,847,625
3728,847,794
3722,847,148
3721,847,86
188,848,130
187,848,13
189,848,276
384,849,0
385,849,1
386,849,443
543,850,676
544,850,699
545,850,762
546,850,770
547,850,828
578,851,432
577,851,176
625,852,7
665,853,176
692,854,276
691,854,13
779,855,755
833,856,664
931,857,26
1510,858,703
1604,859,456
1605,859,777
1775,860,597
1813,861,264
1815,861,628
1814,861,480
1816,861,748
1955,862,331
1953,862,128
1956,862,643
1954,862,167
1957,862,738
2000,863,77
2190,864,373
2191,864,550
2189,864,350
2305,865,860
2391,866,7
